Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,79800,80400,79400,80100,73936.859375,12360199
2021-05-31,80300,80600,79600,80500,74306.0625,13321324
2021-06-01,80500,81300,80100,80600,74398.3828125,14058401
2021-06-02,80400,81400,80300,80800,74583.0078125,16414644
2021-06-03,81300,83000,81100,82800,76429.1015625,29546007
2021-06-04,82700,82700,81500,82200,75875.2734375,18112259
2021-06-07,82700,82800,81600,81900,75598.3515625,16496197
2021-06-08,82300,82600,81800,81900,75598.3515625,12781226
2021-06-09,81500,82000,81100,81100,74859.90625,14908823
2021-06-10,81300,81400,80900,81000,74767.6015625,17586995
2021-06-11,81200,81700,80700,81000,74767.6015625,14087962
2021-06-14,80800,80900,80500,80500,74306.0625,10550078
2021-06-15,80900,81200,80600,80900,74675.3046875,10075685
2021-06-16,81500,81900,81100,81800,75506.046875,14999855
2021-06-17,81100,81300,80700,80900,74675.3046875,14007385
2021-06-18,81100,81100,80500,80500,74306.0625,14916721
2021-06-21,79700,80000,79600,79900,73752.2421875,16063340
2021-06-22,80200,80300,79900,80000,73844.546875,11773365
2021-06-23,80500,80600,79900,80100,73936.859375,13856548
2021-06-24,80400,81400,80100,81200,74952.2109375,18771080
2021-06-25,81500,81900,81200,81600,75321.4296875,13481405
2021-06-28,81700,82000,81600,81900,75598.3515625,11578529
2021-06-29,81900,82100,80800,81000,75098.625,15744317
2021-06-30,81100,81400,80700,80700,74820.4921875,13288643
2021-07-01,80500,80600,80000,80100,74264.203125,13382882
2021-07-02,80000,80400,79900,80000,74171.4765625,8753097
2021-07-05,80100,80800,80000,80400,74542.34375,8330969
2021-07-06,80600,81200,80500,81200,75284.0546875,12131651
2021-07-07,81200,81300,80300,80800,74913.2109375,15992202
2021-07-08,81100,81200,79900,79900,74078.765625,16660998
2021-07-09,79600,79800,79000,79400,73615.203125,22720577
2021-07-12,79900,80000,79500,79700,73893.34375,9768108
2021-07-13,80000,80200,79800,79800,73986.0703125,9863450
2021-07-14,79400,79600,79100,79500,73707.90625,11575636
2021-07-15,79800,80600,79500,80600,74727.765625,13766279
2021-07-16,80100,80100,79500,79800,73986.0703125,10859399
2021-07-19,79100,79200,78800,79000,73244.3359375,13155414
2021-07-20,78500,79000,78400,79000,73244.3359375,12456646
2021-07-21,79000,79100,78500,78500,72780.7734375,12355296
2021-07-22,79000,79800,78900,79700,73893.34375,12618790
2021-07-23,79700,79900,79200,79300,73522.4765625,9098910
2021-07-26,79400,79500,78800,78800,73058.9140625,10040975
2021-07-27,79200,79400,78500,78500,72780.7734375,11427693
2021-07-28,78300,79200,78100,79200,73429.765625,12743417
2021-07-29,78800,79400,78800,79000,73244.3359375,14360453
2021-07-30,78900,78900,78500,78500,72780.7734375,13823411
2021-08-02,79200,79500,78700,79300,73522.4765625,11739124
2021-08-03,79400,81400,79300,81400,75469.484375,24339360
2021-08-04,82200,83100,81800,82900,76860.203125,25642368
2021-08-05,83300,83300,82000,82100,76118.484375,18485469
2021-08-06,81900,82500,81300,81500,75562.203125,13342623
2021-08-09,81500,82300,80900,81500,75562.203125,15522581
2021-08-10,82300,82400,80100,80200,74356.921875,20362639
2021-08-11,79600,79800,78500,78500,72780.7734375,30241137
2021-08-12,77100,78200,76900,77000,71390.0390625,42365223
2021-08-13,75800,76000,74100,74400,68979.46875,61270643
2021-08-17,74000,75100,74000,74200,68794.0390625,30944847
2021-08-18,73900,74600,73100,73900,68515.90625,29192631
2021-08-19,73500,74400,73100,73100,67774.1875,22166298
2021-08-20,73500,73900,72500,72700,67403.3359375,22364803
2021-08-23,73300,74000,73000,73300,67959.6171875,19384648
2021-08-24,73900,75700,73900,75600,70092.0546875,21016913
2021-08-25,76200,76600,74900,75700,70184.7734375,22319664
2021-08-26,76100,76200,74600,74600,69164.90625,16671494
2021-08-27,74300,75000,73800,74300,68886.765625,15172748
2021-08-30,75400,75500,74200,74600,69164.90625,12686999
2021-08-31,74900,76700,74300,76700,71111.890625,24630370
2021-09-01,76700,77100,75900,76800,71204.625,16114775
2021-09-02,76800,76800,75700,76000,70462.90625,15347486
2021-09-03,76400,76700,76000,76600,71019.203125,12096419
2021-09-06,76800,77600,76600,77300,71668.2109375,12861180
2021-09-07,77100,77100,75900,76100,70555.6171875,13239401
2021-09-08,76000,76400,75600,76300,70741.0546875,11798147
2021-09-09,76400,76600,75000,75300,69813.90625,17600770
2021-09-10,75300,75600,74800,75300,69813.90625,10103212
2021-09-13,75200,76300,75100,76300,70741.0546875,11397775
2021-09-14,77100,77700,76600,76600,71019.203125,18167057
2021-09-15,77400,77400,76400,77000,71390.0390625,12829128
2021-09-16,77300,77400,76100,76100,70555.6171875,13067622
2021-09-17,76300,77200,75900,77200,71575.4921875,16289502
2021-09-23,77500,77600,76800,77400,71760.90625,17055590
2021-09-24,77600,77700,77100,77300,71668.2109375,12247274
2021-09-27,77300,77700,77000,77700,72039.0546875,11699798
2021-09-28,77700,77800,76200,76300,70741.0546875,15406382
2021-09-29,74800,75300,73800,74100,69027.9296875,23992458
2021-09-30,74300,74800,73700,74100,69027.9296875,19919361
2021-10-01,73900,74000,72900,73200,68189.5390625,15803395
2021-10-05,73000,73000,71400,72200,67257.984375,24013921
2021-10-06,72600,72800,71200,71300,66419.5859375,18956962
2021-10-07,71600,72100,71300,71600,66699.03125,13683532
2021-10-08,72300,72400,71500,71500,66605.8984375,14043287
2021-10-12,70700,70900,68700,69000,64277.015625,31001484
2021-10-13,68700,69600,68300,68800,64090.7109375,24172015
2021-10-14,69000,69800,68800,69400,64649.65625,19520641
2021-10-15,70200,71000,70000,70100,65301.73046875,18051612
2021-10-18,70200,70300,69200,70200,65394.890625,13486391
2021-10-19,70800,71000,70400,70600,65767.5,9507991
2021-10-20,70700,71000,70200,70300,65488.03515625,10151638
2021-10-21,70300,70600,70000,70200,65394.890625,10891094
2021-10-22,70000,70700,70000,70400,65581.1875,8395448
2021-10-25,69900,70600,69500,70200,65394.890625,10029621
2021-10-26,70600,71500,70400,71100,66233.28125,10528252
2021-10-27,71000,71000,70000,70100,65301.73046875,10295316
2021-10-28,69500,72200,69500,70700,65860.6640625,20644902
2021-10-29,71200,71600,69700,69800,65022.265625,17016151
2021-11-01,70200,70600,69900,69900,65115.41796875,11503729
2021-11-02,70800,72200,70700,71500,66605.8984375,16812570
2021-11-03,71700,71700,70100,70400,65581.1875,12770428
2021-11-04,71200,71600,70500,70600,65767.5,11818987
2021-11-05,71600,71600,70200,70200,65394.890625,12667743
2021-11-08,70400,70600,69800,70600,65767.5,11121981
2021-11-09,70300,71000,70100,70500,65674.34375,11159589
2021-11-10,70300,70900,70200,70200,65394.890625,9422009
2021-11-11,69900,70000,69600,69900,65115.41796875,11489122
2021-11-12,70200,70900,69900,70600,65767.5,10087450
2021-11-15,71700,71900,70900,71400,66512.734375,12420710
2021-11-16,71500,72000,71300,71300,66419.5859375,10919239
2021-11-17,71300,71600,70600,70700,65860.6640625,11027606
2021-11-18,70700,71000,70200,70200,65394.890625,10144957
2021-11-19,70400,71400,70100,71200,66326.4296875,11954728
2021-11-22,73300,75200,73000,74900,69773.15625,27506623
2021-11-23,76000,76000,74500,75300,70145.796875,22029195
2021-11-24,76000,76200,74100,74800,69680.015625,15652305
2021-11-25,75100,75100,73600,73700,68655.3046875,12559258
2021-11-26,73500,74100,72000,72300,67351.140625,13002242
2021-11-29,71700,73000,71400,72300,67351.140625,16682559
2021-11-30,73200,73900,70500,71300,66419.5859375,30364841
2021-12-01,72000,74800,71600,74400,69307.3828125,21954856
2021-12-02,73900,75800,73800,75800,70611.5703125,23652940
2021-12-03,75600,76000,74100,75600,70425.2578125,18330240
2021-12-06,75100,76700,74900,76300,71077.34375,16391250
2021-12-07,76100,77700,75600,77400,72102.046875,19232453
2021-12-08,78300,78600,77100,77400,72102.046875,21558340
2021-12-09,77400,78200,77000,78200,72847.2890625,21604528
2021-12-10,77400,77600,76800,76900,71636.2734375,9155219
2021-12-13,77200,78300,76500,76800,71543.1328125,15038750
2021-12-14,76500,77200,76200,77000,71729.4375,10976660
2021-12-15,76400,77600,76300,77600,72288.3515625,9584939
2021-12-16,78500,78500,77400,77800,72474.671875,11996128
2021-12-17,76800,78000,76800,78000,72660.984375,13108479
2021-12-20,77600,77800,76800,77100,71822.5859375,11264375
2021-12-21,77900,78300,77500,78100,72754.140625,14245298
2021-12-22,78900,79400,78800,79400,73965.1484375,17105892
2021-12-23,79800,80000,79300,79900,74430.921875,13577498
2021-12-24,80200,80800,80200,80500,74989.8515625,12086380
2021-12-27,80600,80600,79800,80200,74710.3984375,10783368
2021-12-28,80200,80400,79700,80300,74803.5546875,18226325
2021-12-29,80200,80200,78500,78800,73737.71875,19794795
2021-12-30,78900,79500,78100,78300,73269.8515625,14236700
2022-01-04,78800,79200,78300,78700,73644.140625,12427416
2022-01-05,78800,79000,76400,77400,72427.6484375,25470640
2022-01-06,76700,77600,76600,76900,71959.78125,12931954
2022-01-07,78100,78400,77400,78300,73269.8515625,15163757
2022-01-10,78100,78100,77100,78000,72989.1171875,9947422
2022-01-11,78400,79000,78000,78900,73831.2890625,13221123
2022-01-12,79500,79600,78600,78900,73831.2890625,11000502
2022-01-13,79300,79300,77900,77900,72895.546875,13889401
2022-01-14,77700,78100,77100,77300,72334.0859375,10096725
2022-01-17,77600,77800,76900,77500,72521.234375,8785122
2022-01-18,77600,77800,76600,77000,72053.3515625,9592788
2022-01-19,76500,76900,76100,76300,71398.3203125,10598290
2022-01-20,76200,76700,75900,76500,71585.484375,9708168
2022-01-21,75800,75800,74700,75600,70743.296875,15774888
2022-01-24,75400,75800,74700,75100,70275.40625,13691134
2022-01-25,74800,75000,73200,74000,69246.078125,17766704
2022-01-26,74000,74000,74000,74000,69246.078125,0
2022-01-27,73800,74000,71300,71300,66719.5390625,22274777
2022-01-28,71300,73700,71200,73300,68591.0390625,21367447
2022-02-03,74900,74900,73300,73300,68591.0390625,17744721
2022-02-04,74300,74600,73400,74000,69246.078125,12730034
2022-02-07,73500,73600,72400,73000,68310.3203125,14240838
2022-02-08,73000,73000,73000,73000,68310.3203125,0
2022-02-09,73000,73000,73000,73000,68310.3203125,0
2022-02-10,75600,75800,74700,75400,70556.140625,17746033
2022-02-11,75000,75500,74600,74900,70088.25,12205407
2022-02-14,74400,74500,73100,73700,68965.3515625,13993255
2022-02-15,74100,74200,73100,73700,68965.3515625,9320365
2022-02-16,74600,74900,74200,74800,69994.6796875,10767386
2022-02-17,75000,75600,74500,75000,70181.828125,13605382
2022-02-18,74600,74800,73700,74300,69526.796875,10122226
2022-02-21,74300,74300,74300,74300,69526.796875,0
